date,old_dte,old_band,old_dte_key,old_lut_key,old_strategy,new_dte,new_band,new_dte_key,new_lut_key,new_strategy,strategy_changed
2025-07-09,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-07-10,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-07-11,4,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,4.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-07-14,3,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2025-07-15,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2025-07-16,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-07-17,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-07-18,4,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,4.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-07-21,3,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2025-07-22,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2025-07-23,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-07-24,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-07-25,4,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,4.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-07-28,3,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2025-07-29,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2025-07-30,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-07-31,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,False
2025-08-01,4,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,4.0,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,False
2025-08-04,3,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2025-08-05,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2025-08-06,1,13-15%,T-1,T-1|13-15%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-08-07,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-08-08,4,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,4.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-08-11,3,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2025-08-12,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2025-08-13,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-08-14,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-08-18,3,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2025-08-19,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2025-08-20,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
